DATA,CE_SECO,CMO_SECO,EA_SECO,GE_SECO,DM_SECO,PLD_SECO,MPI_SECO_50,MPC_SECO,LPI_SECO_50,LPC_SECO,CI_SECO,PIB
2012-01-31,36010.64999999999,15.52,146713.25,38578.5175,43520.545,25.0975,75.955,41.9675,124.16,89.035,69129.62,373143.3
2012-02-29,38002.9725,58.455,157570.0,38678.11,46167.17750000001,42.6,85.0,56.8925,117.3775,87.19,69101.09,376769.3
2012-03-31,37921.898,144.042,157210.4,38818.62,45847.328,115.024,156.716,126.948,135.628,103.852,69224.37,361724.6
2012-04-30,36153.3,198.32,153252.75,39469.425,44529.71,192.8425,236.785,206.6825,135.94,105.145,69407.47,378491.0
2012-05-31,34283.105,180.7475,147965.5,39595.88,43449.645,182.595,218.155,186.11,132.44,101.44,69845.39,389560.8
2012-06-30,32575.098,106.374,144259.2,35536.462,43327.41,130.336,173.622,136.186,132.562,98.638,70097.21,391595.1
2012-07-31,32901.185,99.0475,136569.75,35594.38,42870.805,90.39750000000001,131.7125,96.735,127.545,93.11,70647.99,367215.4
2012-08-31,34781.4625,123.46,122086.5,36709.9525,43253.57,110.0,144.3325,111.4225,129.06,94.05499999999999,70734.91,367177.3
2012-09-30,35919.14200000001,183.206,101130.4,38447.068,44317.612,174.15,162.934,130.758,131.042,100.106,70704.17,392996.5
2012-10-31,36618.14,304.1675,79818.25,40011.7425,45174.8875,258.565,195.59,165.82,133.4925,104.825,70819.78,381795.3
2012-11-30,34674.5025,379.095,67113.75,40192.4625,42928.3475,389.46,248.32,222.77,138.4275,112.115,70919.42,400281.3
2012-12-31,36569.61,266.134,58997.0,39315.68399999999,44765.468,262.672,206.382,178.176,134.478,110.524,71115.54,398714.5
2013-01-31,34766.785,418.4025,67184.75,35179.7425,44602.1675,429.0325,298.65,269.4825,142.14,115.82,71381.08,414617.4
2013-02-28,36735.7725,212.885,87712.25,36513.5275,46873.835,213.4375,235.77,209.65,137.0725,112.175,71488.9,419906.3
2013-03-31,36261.202,330.404,102029.2,34809.868,46042.378,337.384,340.536,308.556,144.29,118.882,71559.77,393524.7
2013-04-30,33981.8475,184.445,122677.75,33535.6925,44017.42,191.845,333.1,297.485,151.0225,124.945,71745.5,422672.1
2013-05-31,32939.26,348.195,125193.25,32748.3625,43968.4625,334.4975,362.4,326.0675,156.065,127.8525,71825.8,423816.4
2013-06-30,33118.40399999999,187.998,127819.2,34091.092,44007.612,243.662,314.418,280.952,157.2,127.724,72527.02,423195.9
2013-07-31,32883.53,123.0875,123998.25,34551.27,43521.2075,113.8525,212.17,184.285,154.4225,125.5025,72668.57,414131.8
2013-08-31,34025.19,175.48,113844.0,33770.964,44511.52,159.174,252.02,224.29,157.742,128.08,72840.29,398645.4
2013-09-30,35215.1525,264.4625,100294.75,34100.66,45301.6025,266.05,258.7525,234.4675,148.105,119.2075,72902.69,427409.8
2013-10-31,35156.985,258.4225,93436.5,34737.83,44898.3,251.0475,235.9025,208.89,147.53,118.7975,73158.07,438856.8
2013-11-30,34865.642,324.708,85127.2,36195.09,46890.558,327.904,275.562,243.152,149.868,121.132,73175.07,439054.2
2013-12-31,34802.4525,278.215,85133.75,37088.7925,44132.83749999999,297.255,256.1325,220.01,151.3875,122.4275,72507.63,442857.0
2014-01-31,39159.8175,389.0425,82767.5,36942.3075,49105.7375,333.3425,263.3525,230.645,153.8375,125.11,72400.91,458458.9
2014-02-28,39920.03,1554.9875,72170.5,38954.81,49954.29,738.23,439.0425,414.175,164.0475,136.0825,72880.4,452862.2
2014-03-31,37768.182,1214.236,71731.6,35233.59,47739.106,822.8300000000002,569.772,547.636,172.188,145.552,73612.14,438766.7
2014-04-30,34787.3475,1097.0725,75174.5,32359.4775,45717.9475,822.83,682.1075000000001,660.895,191.22,164.0675,73972.4,466166.0
2014-05-31,35351.774,831.816,75546.8,32369.862,44975.10799999999,815.6980000000001,672.0840000000001,651.27,211.196,186.748,74131.4,465693.8
2014-06-30,34217.7025,367.7425,74566.75,31179.985,44575.275,424.2425,525.365,505.825,222.345,198.9275,74378.6,473552.5
2014-07-31,33938.965,627.8625,70672.5,31181.8425,43950.225,569.9825000000001,574.275,557.7574999999999,231.285,209.23,74751.66,455935.0
2014-08-31,34849.148,723.588,64277.2,31973.762,44587.888,686.708,619.816,604.018,245.104,223.25,75063.73,450358.8
2014-09-30,36188.2475,712.4125,53449.75,33132.3775,45255.6825,737.165,626.935,610.27,188.6725,168.73,75565.66,462159.8
2014-10-31,36972.38,809.6725,42884.5,34749.1225,46420.2025,750.175,620.0175,605.375,194.91,174.45,75768.96,468767.5
2014-11-30,36594.406,965.1540000000001,32942.2,34766.746,45476.15399999999,822.8300000000002,589.37,571.296,199.862,180.088,75970.96,473347.1
2014-12-31,35558.88,622.78,36388.25,35492.3675,44209.1975,635.4375,395.2625,378.5375,202.63,183.3175,76329.65,458516.5
2015-01-31,40824.986,1235.492,36260.0,36355.094,50085.628,388.48,390.126,372.928,204.806,186.124,76472.13,481994.0
2015-02-28,39137.7475,1602.8125,40219.25,34598.7675,48334.015,388.48,400.795,386.9175,218.5275,198.7175,76816.95,477052.9
2015-03-31,37692.24,1113.625,53187.5,34934.1275,46525.4825,388.48,399.485,387.065,232.46,213.4225,76811.97,476520.6
2015-04-30,34182.94,960.3149999999999,65479.5,32751.8625,44306.815,388.48,396.2525,384.29,229.9175,211.97,77021.22,493304.7
2015-05-31,33318.14599999999,426.736,72249.8,32803.836,42865.27,388.48,376.374,367.56,223.89,204.938,77182.18,489484.4
2015-06-30,32563.32,366.0525,73646.75,31675.0625,42225.925,372.3075,354.575,346.02,221.5975,203.495,77719.73,499867.7
2015-07-31,32867.9725,223.5475,75444.0,31293.635,42134.49,275.035,257.5225,249.9325,204.4675,187.2325,77700.56,472913.9
2015-08-31,34162.78,149.846,71922.8,31350.93,42747.466,140.762,190.524,182.606,187.28,170.93,77860.63,460156.7
2015-09-30,35585.58,201.065,67159.5,32489.05,45140.26,235.7675,212.6075,202.8375,180.6825,164.395,77901.57,501752.2
2015-10-31,36386.748,204.3,58750.4,34764.484,45817.57,210.32,185.878,171.83,175.606,159.29,78146.15,486614.6
2015-11-30,36620.285,167.1575,55719.5,36671.065,45341.5825,210.4625,185.8525,170.8325,173.4425,157.1175,78585.36,483239.7
2015-12-31,36304.13,86.87,59133.75,35172.215,44110.4,133.5175,148.105,131.905,164.3275,148.365,78908.36,486647.5
2016-01-31,37484.506,10.318,79235.8,38173.88,45687.218,38.574,101.638,82.548,151.382,134.672,79294.5,502275.2
2016-02-29,39044.835,6.1875,101106.25,38005.94,47538.1725,30.25,72.60249999999999,58.0025,137.765,121.63,79418.54,492505.7
2016-03-31,38436.3525,25.2425,114844.0,36637.5075,47199.1325,36.23,74.6775,61.2,137.3875,121.6025,79600.04,496004.7
2016-04-30,27092.53,42.95399999999999,117914.4,25666.268,46118.592,47.044,86.914,71.636,141.276,121.826,79788.08,518828.9
2016-05-31,34331.3,50.8075,115495.5,35098.7175,42611.59,78.665,98.92,82.72749999999999,152.5575,127.525,79926.86,513819.8
2016-06-30,32936.5425,39.7375,115042.75,34528.67,41532.2,58.5775,93.6275,75.6925,171.4125,131.3875,80268.68,521918.7
2016-07-31,33408.984,61.55399999999999,107468.2,33885.846,42128.15,79.724,125.888,107.37,184.616,139.288,80296.82,490284.0
2016-08-31,34329.06,95.185,95965.0,34454.1125,42709.09,111.29,196.6425,176.0625,198.13,155.7425,81467.72,491011.7
2016-09-30,34687.47,130.9825,86451.75,34674.795,42789.85,144.3875,160.8875,141.5175,194.7675,155.6775,81734.72,516985.9
2016-10-31,35246.154,192.268,73602.0,35222.728,43873.564,184.348,183.402,160.194,191.312,152.99,81762.97,508058.7
2016-11-30,34618.4675,201.305,68361.0,35557.75999999999,44030.955,190.37,185.1275,156.55,188.3975,153.52,82208.71,513267.5
2016-12-31,36308.742,131.054,67939.8,37686.086,44531.35400000001,137.956,147.776,105.676,184.422,146.866,82252.18,536459.3
2017-01-31,39228.7675,95.2075,72013.75,39687.6,47287.565,124.6625,170.6875,118.81,184.155,142.9125,82714.88,532947.8
2017-02-28,40093.8475,120.0125,81420.25,40494.6375,48655.1,117.7375,193.3425,143.04,191.34,148.25,82739.88,534761.8
2017-03-31,39240.1075,204.1625,84081.5,40593.9875,47269.505,155.725,267.7425,225.2025,201.0175,160.8275,82754.53,509975.0
2017-04-30,35583.04,378.556,84528.6,37724.182,44367.418,295.22,394.326,349.676,212.062,170.94,82793.28,525162.7
2017-05-31,34493.58,376.47,86255.25,36173.0775,42557.025,398.485,345.785,304.0375,217.5125,175.6275,82813.55,541530.7
2017-06-30,33769.83,111.735,86784.0,31941.845,42764.5225,294.3375,224.0525,183.54,213.595,172.0325,82877.88,565780.5
2017-07-31,32765.466,308.374,80517.0,33027.28,41754.126,176.294,278.1180000000001,228.962,214.01,170.758,82960.22,526564.7
2017-08-31,33794.815,505.085,69210.75,33879.8375,42246.3625,396.305,294.215,245.405,214.4625,167.92,83113.74,514120.5
2017-09-30,35538.594,639.616,54256.0,35696.8,44275.442,500.9520000000001,342.662,295.252,206.114,159.942,83399.88,544312.9
2017-10-31,36598.4675,808.8,38667.5,35414.8925,45317.29,533.82,345.7175,293.965,207.05,160.3675,83429.88,525238.1
2017-11-30,35977.385,401.7775,37035.25,36510.9275,44474.5075,521.1675,296.6075,238.645,206.855,159.7025,83525.1,548887.7
2017-12-31,36681.226,224.406,43544.958,39253.516,44468.306,314.938,237.666,169.916,206.266,158.228,83810.31,556787.6
2018-01-31,39558.7675,157.925,60776.9875,39521.2425,48520.5675,223.3375,223.22,158.9775,204.34,157.885,83946.56,557458.2
2018-02-28,38700.165,176.7675,71538.5625,38973.9025,47310.0375,177.575,242.5875,196.8825,202.2075,158.6125,83993.07,555578.7
2018-03-31,39733.966,183.996,82772.652,40472.478,48496.456,208.49,278.86,239.662,214.074,168.358,83996.03,528871.2
2018-04-30,36200.08,139.1725,89200.45,36505.94,44119.2675,143.2575,220.455,183.6525,215.8025,169.305,84228.29,549304.7
2018-05-31,33732.7625,333.3025,86725.7625,33870.86,41955.8,195.2325,289.6875,255.94,219.725,172.68,84350.32,566209.3
2018-06-30,34019.84,480.378,82247.584,34479.162,42689.69,396.548,379.31,351.948,224.722,178.18,84381.95,588892.8
