Data,upper_lim,lower_lim,mean
2017-12-01,668466.5290673154,668466.5290673154,668466.5290673154
2018-01-01,608902.4053688523,602716.5849973179,605809.4951830851
2018-02-01,584820.7044335067,572922.2536769573,578871.479055232
2018-03-01,592183.2006450451,574086.3132175122,583134.7569312786
2018-04-01,597124.5320917487,575081.7664522155,586103.1492719821
2018-05-01,618333.0735537227,591618.1099624377,604975.5917580802
2018-06-01,638553.3177136141,604481.1650026067,621517.2413581103
2018-07-01,645033.0748719014,604048.1656633661,624540.6202676337
2018-08-01,647435.051390006,599688.2859970288,623561.6686935173
2018-09-01,667020.6343312468,613764.6522171918,640392.6432742194
2018-10-01,677835.6350046617,619627.6051915977,648731.6200981297
2018-11-01,677475.5335752273,615253.546546951,646364.5400610891
2018-12-01,679419.6861868191,610154.4226343783,644787.0544105987
2019-01-01,622868.6697656804,555714.3606311554,589291.5151984179
2019-02-01,602076.3238031466,533666.9937582928,567871.6587807197
2019-03-01,613556.6892682341,540315.2186961974,576935.9539822157
2019-04-01,618565.0901387894,541204.6991581671,579884.8946484784
2019-05-01,636414.5717005795,550484.0368081267,593449.304254353
2019-06-01,661394.3304697119,568391.314892136,614892.822680924
2019-07-01,672327.7320995536,574063.666621144,623195.6993603489
2019-08-01,679080.3611872593,576105.3209205046,627592.8410538819
2019-09-01,699455.9636619242,589592.9426099337,644524.453135929
2019-10-01,710628.6065761049,595189.3706386869,652908.9886073959
2019-11-01,710084.6207593014,590952.3477542596,650518.4842567805
2019-12-01,716524.4290129002,592532.8380274065,654528.6335201534
2020-01-01,656712.9062739951,539641.2381226651,598177.0721983301
2020-02-01,634626.0873996041,518208.6353527269,576417.3613761655
2020-03-01,646560.9528568455,524641.0116024156,585600.9822296305
2020-04-01,651672.9202056002,525481.3068303954,588577.1135179979
2020-05-01,674528.7498233807,540519.7829886612,607524.2664060208
2020-06-01,700807.8166628506,558087.3807741525,629447.5987185016
2020-07-01,712194.7780751877,563641.1576048504,637917.967840019
2020-08-01,719149.8180722526,565629.8952790593,642389.8566756559
2020-09-01,740525.7474148056,578855.9998295917,659690.8736221987
2020-10-01,752151.2388060096,584334.0389178232,668242.6388619164
2020-11-01,751374.4176155373,580157.8865775254,665766.1520965314
2020-12-01,757987.7694567443,581693.0070580955,669840.3882574199
2021-01-01,694532.7372046071,529753.9359857092,612143.3365951581
2021-02-01,670999.3870527662,508699.50232543587,589849.4446891011
2021-03-01,683442.141433931,514999.1003178113,599220.620875871
2021-04-01,688669.8409456676,515809.1394913823,602239.4902185249
2021-05-01,712642.9279461817,530555.5291691956,621599.2285576886
2021-06-01,740221.302855989,547783.4466561689,644002.3747560789
2021-07-01,752061.8240508217,553218.6485885567,652640.2363196891
2021-08-01,759219.2749572456,555154.4696376141,657186.87229743
2021-09-01,781595.5311676869,568119.05704925,674857.2941084685
2021-10-01,793673.8710359143,573478.7071969596,683576.2891164371
2021-11-01,792664.2144717732,569363.4254007913,681013.8199362822
2021-12-01,799451.1099005883,570853.1760887846,685152.1429946865
2022-01-01,732352.568135219,519866.6338487531,626109.6009919861
2022-02-01,707372.6867059281,499190.3692981447,603281.5280020364
2022-03-01,720323.3300110163,505357.18903320696,612840.2595221116
2022-04-01,725666.7616857351,506136.9721523694,615901.8669190523
2022-05-01,750757.106068983,520591.27534973004,635674.1907093565
2022-06-01,779634.7890491275,537479.5125381855,658557.1507936565
2022-07-01,791928.8700264558,542796.1395722629,667362.5047993592
2022-08-01,799288.7318422387,544679.0439961688,671983.8879192038
2022-09-01,822665.3149205684,557382.1142689082,690023.7145947382
2022-10-01,835196.5032658189,562623.375476096,698909.9393709576
2022-11-01,833954.0113280092,558568.9642240573,696261.4877760332
2022-12-01,840914.4503444324,560013.3451194736,700463.8977319531
