Data,upper_lim,lower_lim,mean
2017-12-01,668466.5290673154,668466.5290673154,668466.5290673154
2018-01-01,612877.9997911496,608902.4053688523,610890.202580001
2018-02-01,592467.7765469155,584820.7044335067,588644.240490211
2018-03-01,603813.9756104676,592183.2006450451,597998.5881277564
2018-04-01,608791.8041115189,593235.441418492,601013.6227650054
2018-05-01,630352.6815392894,610320.001563345,620336.3415513173
2018-06-01,650982.6727913946,623820.6019969721,637401.6373941834
2018-07-01,657605.4636198834,623610.1556892946,640607.809654589
2018-08-01,660071.2720216155,619349.5951496476,639710.4335856315
2018-09-01,679972.3159645526,633916.8024575665,656944.5592110595
2018-10-01,690930.1259923538,640001.9594396683,665466.042716011
2018-11-01,690496.5980834697,635513.6529708869,663005.1255271783
2018-12-01,692495.4790401078,630499.6835473609,661497.5812937343
2019-01-01,634795.4530325724,574271.8217457586,604533.6373891656
2019-02-01,613546.9319732599,551514.6698931168,582530.8009331883
2019-03-01,625187.4642336565,558412.1061237304,591799.7851786935
2019-04-01,630232.3621585595,559358.3741244437,594795.3681415017
2019-05-01,648434.1796861461,569185.928409034,608810.05404759
2019-06-01,673823.6855474926,587730.7518865014,630777.218716997
2019-07-01,684900.1208475356,593625.6566470724,639262.888747304
2019-08-01,691716.581818869,595766.6300731231,643741.6059459961
2019-09-01,712407.6452952302,609745.0928503082,661076.3690727692
2019-10-01,723723.0975637971,615563.7248867576,669643.4112252773
2019-11-01,723105.685267544,611212.4541781954,667159.0697228698
2019-12-01,729600.221866189,612878.0989403891,671239.160403289
2020-01-01,668639.689540887,558198.6992372684,613419.1943890777
2020-02-01,646096.6955697174,536056.3114875511,591076.5035286342
2020-03-01,658191.7278222678,542737.8990299485,600464.8134261081
2020-04-01,663340.1922253703,543634.9817966719,603487.5870110211
2020-05-01,686548.3578089473,559221.6745895684,622885.0161992578
2020-06-01,713237.1717406311,577426.8177685178,645331.9947545744
2020-07-01,724767.1668231697,583203.1476307787,653985.1572269741
2020-08-01,731786.0387038621,585291.204431678,658538.62156777
2020-09-01,753477.4290481115,599008.1500699664,676242.789559039
2020-10-01,765245.7297937017,604708.393165894,684977.0614797978
2020-11-01,764395.4821237798,600417.9930014615,682406.7375626207
2020-12-01,771063.562310033,602038.2679710782,686550.9151405556
2021-01-01,706459.5204714991,548311.3971003123,627385.4587859057
2021-02-01,682469.9952228795,526547.1784602599,604508.5868415696
2021-03-01,695072.9163993533,533095.9877453442,614084.4520723488
2021-04-01,700337.1129654378,533962.8144576589,617149.9637115482
2021-05-01,724662.5359317485,549257.4207701029,636959.9783509256
2021-06-01,752650.6579337695,567122.8836505343,659886.7707921519
2021-07-01,764634.2127988036,572780.638614485,668707.4257066443
2021-08-01,771855.4955888551,574815.7787902327,673335.6371895439
2021-09-01,794547.2128009928,588271.2072896246,691409.2100453087
2021-10-01,806768.3620236063,593853.0614450303,700310.7117343183
2021-11-01,805685.2789800158,589623.5318247273,697654.4054023715
2021-12-01,812526.902753877,591198.4370017672,701862.669877822
2022-01-01,744279.3514021111,538424.0949633564,641351.7231827339
2022-02-01,718843.2948760415,517038.0454329689,617940.6701545051
2022-03-01,731954.1049764388,523454.07646073995,627704.0907185895
2022-04-01,737334.0337055053,524290.6471186458,630812.3404120755
2022-05-01,762776.7140545497,539293.1669506372,651034.9405025935
2022-06-01,792064.1441269082,556818.9495325508,674441.5468297293
2022-07-01,804501.2587744378,562358.1295981914,683429.6941863146
2022-08-01,811924.9524738484,564340.3531487875,688132.6528113179
2022-09-01,835616.9965538742,577534.2645092828,706575.6305315784
2022-10-01,848290.9942535111,582997.7297241667,715644.3619888389
2022-11-01,846975.0758362518,578829.0706479932,712902.0732421225
2022-12-01,853990.2431977212,580358.6060324563,717174.4246150887
